Language ID	Family	Language name (-dialect)	Culture	ISO_code	Internal	Glottolog	Lat	Lon	Region	Description	Comments	languagename	db_Object
lewo1244	Austronesian	Lewotobi			lewo	lewo1244	-8.0	127.0	5Flores, 1East	Language referred to in typological questionnaire	added by Gereon	lewotobi	Lewotobi
mamb1306	Austronesian	Mambai		mgm		mamb1306	-8.9918	125.072	4Timor, 2Central		Mambae: mamb1306	mambai	Mambai
p-aust1307-abvd	Austronesian	proto-AN-ABVD				aust1307					Proto-Austronesian reconstruction from the Austronesian Basic Vocabulary Database	protoan	proto-AN-ABVD
p-aust1307-acd	Austronesian	proto-AN-ACD				aust1307					Proto-Austronesian reconstruction from the Comparative Austronesian Dictionary	protoan	proto-AN-ACD
p-cent2245-abvd	Austronesian	proto-Central-MP-ABVD				cent2245					Proto-Central Malayo-Polynesian reconstruction from the Austronesian Basic Vocabulary Database	pcmpabvd	proto-Central-MP-ABVD
p-cent2245-acd	Austronesian	proto-Central-MP-ACD				cent2245					Proto-Central Malayo-Polynesian reconstruction from the Comparative Austronesian Dictionary	pcmpacd	proto-Central-MP-ACD
p-mala1545-abvd	Austronesian	proto-MP-ABVD				mala1545						protomp	proto-MP-ABVD
p-mala1545-acd	Austronesian	proto-MP-ACD				mala1545						protomp	proto-MP-ACD
sika1262	Austronesian	Sika		ski 		sika1262	-8.6237	122.084	5Flores, 2Central		Originally listed as Sika2. We also have coordinates -8.3433/125.0922, but they are on east Alor.	sika	Sika
sika1262-tanai	Austronesian	Sika-Tana Ai		ski 		sika1262	-8.6237	122.084	5Flores, 2Central		Sika list from ...	sikatanaai	Sika-Tana Ai
tetu1246	Austronesian	Tetun Dili 		tdt 		tetu1246	-8.5478	125.442	4Timor			tetundili	Tetun Dili 
tetu1245-suai	Austronesian	Tetun Terik-Suai 		tdt			-9.318825	122.625	4Timor, 2Central			tetunteriksuai	Tetun Terik-Suai 
tetu1245	Austronesian	Tetun Terik		tdt			-9.318825	122.625	4Timor, 2Central			tetunteriksuai	Tetun Terik
tetu1245-vique	Austronesian	Tetun Terik-Viqueque	tetu	tdt			-8.8608	123.631	4Timor, 2Central			tetunterikviqueque	Tetun Terik-Viqueque
tuku1254	Austronesian	Tokodede		tkd		tuku1254	-8.6128	122.017	4Timor, 2Central		Tukudede: tuku1254	tokodede	Tokodede
abui1241	Timor-Alor-Pantar	Abui	abui	abz		abui1241	-8.1887	126.264	3Alor, 2Central			abuitakalelang	Abui
atim1239	Timor-Alor-Pantar	Abui-Atimelang		abz		atim1239	-8.226	126.683	3Alor, 2Central		Atimelang and Fuimelang were two villages but have merged; Atimelang=Atengmelang	abuiatimelang	Abui-Atimelang
abui1241-fuime	Timor-Alor-Pantar	Abui-Fuimelang		abz			-8.226	126.683	3Alor, 2Central			abuifuimelang	Abui-Fuimelang
abui1241-petle	Timor-Alor-Pantar	Abui-Petleng		abz			-8.2144	124.593	3Alor, 2Central			abuipetleng	Abui-Petleng
abui1241-petle-o	Timor-Alor-Pantar	Abui-Petleng (Orthographic)		abz			-8.2144	124.593	3Alor, 2Central			abuipetlengorthographic	Abui-Petleng (Orthographic)
abui1241-takal	Timor-Alor-Pantar	Abui-Takalelang	abui	abz		abui1241	-8.1887	126.264	3Alor, 2Central			abuitakalelang	Abui-Takalelang
abui1241-takal-o	Timor-Alor-Pantar	Abui-Takalelang (Orthographic)		abz		abui1241	-8.1887	126.264	3Alor, 2Central			abuitakalelangorthographic	Abui-Takalelang (Orthographic)
adan1251	Timor-Alor-Pantar	Adang		adn		adan1251	-8.2109	124.272	3Alor, 1West			adang	Adang
adan1251-lawah	Timor-Alor-Pantar	Adang-Lawahing		adn		adan1251	-8.2109	124.272	3Alor, 1West			adanglawahing	Adang-Lawahing
alor1249-besar	Timor-Alor-Pantar	Alor-Besar					-8.0	124.0	Alor			alorbesar	Alor-Besar
baka1276	Timor-Alor-Pantar	Blagar-Bakalang		beu		baka1276	-8.2634	122.972	1Pantar, 2East			blagarbakalang	Blagar-Bakalang
blag1240-bama	Timor-Alor-Pantar	Blagar-Bama		beu 			-8.2771	123.013	1Pantar, 2East			blagarbama	Blagar-Bama
blag1240	Timor-Alor-Pantar	Blagar		beu 			-8.2975	123.033	1Pantar, 2East			blagarkulijahi	Blagar
blag1240-kulij	Timor-Alor-Pantar	Blagar-Kulijahi		beu 			-8.2975	123.033	1Pantar, 2East			blagarkulijahi	Blagar-Kulijahi
blag1240-nule	Timor-Alor-Pantar	Blagar-Nule		beu 			-8.3672	122.409	1Pantar,2East			blagarnule	Blagar-Nule
pura1258	Timor-Alor-Pantar	Blagar-Pura	blag	beu 		pura1258	-8.2829	123.307	2Pura		includes Blagar Dolabang and Blagar Dadibira	blagarpura	Blagar-Pura
blag1240-tuntu	Timor-Alor-Pantar	Blagar-Tuntuli		beu			-8.2056	122.907	1Pantar, 2East			blagartuntuli	Blagar-Tuntuli
blag1240-warsa	Timor-Alor-Pantar	Blagar-Warsalelang		beu			-8.3252	123.011	1Pantar, 2East			blagarwarsalelang	Blagar-Warsalelang
buna1278-bobon	Timor-Alor-Pantar	Bunak-Bobonaro	buna	bfn 			-8.4394	129.821	4Timor, 2Central			bunakbobonaro	Bunak-Bobonaro
buna1278-o	Timor-Alor-Pantar	Bunak (Orthographic)		bfn 			-8.9912	122.227	4Timor, 2Central		Orthographic data comes from Maliana table	bunakorthographic	Bunak (Orthographic)
buna1278-suai	Timor-Alor-Pantar	Bunak-Suai		bfn 			-9.318825	122.625	4Timor, 2Central			bunaksuai	Bunak-Suai
buna1278-malia	Timor-Alor-Pantar	Bunaq-Maliana		bfn 			-8.9912	122.227	4Timor, 2Central			bunaqmaliana	Bunaq-Maliana
dein1238	Timor-Alor-Pantar	Deing			deinx	dein1238	-8.3488	121.304	1Pantar, 1West			deing	Deing
fata1247	Timor-Alor-Pantar	Fataluku	fata	ddg		fata1247	-8.4394	129.821	4Timor, 3East			fataluku	Fataluku
hama1240	Timor-Alor-Pantar	Hamap-Moru		hmu		hama1240	-8.2668	125.183	3Alor, 1West			hamapmoru	Hamap-Moru
kabo1247	Timor-Alor-Pantar	Kabola-Monbang		klz		kabo1247	-8.1737	125.546	3Alor, 1West			kabolamonbang	Kabola-Monbang
kaer1234	Timor-Alor-Pantar	Kaera-Abangiwang	kaer	jka		kaer1234	-8.4047	122.175	1Pantar, 1West			kaeraabangiwang	Kaera-Abangiwang
kaer1234-o	Timor-Alor-Pantar	Kaera-Abangiwang (Orthographic)		jka		kaer1234	-8.4047	122.175	1Pantar, 1West			kaeraabangiwangorthographic	Kaera-Abangiwang (Orthographic)
kafo1240	Timor-Alor-Pantar	Kafoa-Probur		kpu		kafo1240	-8.3775	124.2303	3Alor, 1West		Coordinates taken from Probur village on OSM [Gereon]	kafoaprobur	Kafoa-Probur
kama1365	Timor-Alor-Pantar	Kamang-Atoitaa		woi		kama1365	-8.2543	124.8515	3Alor, 2Central			kamangatoitaa	Kamang-Atoitaa
kira1248	Timor-Alor-Pantar	Kiraman		kvd		kira1248	-8.3847	124.8334	3Alor, 2Central			kiraman	Kiraman
kelo1247-bring	Timor-Alor-Pantar	Klon-Bring		kyo		kelo1247	-8.4185	123.418	3Alor, 1West			klonbring	Klon-Bring
kelo1247	Timor-Alor-Pantar	Klon		kyo		kelo1247	-8.4185	123.418	3Alor, 1West			klon	Klon
kuii1253	Timor-Alor-Pantar	Kui-Moru		kvd		kuii1253	-8.2778678	124.47826059999998	3Alor, 1West		Coordinates of Moru village on OSM – we also have from other sources -8.2844737/125.0477418 or -8.4351/124.5423	kuimoru	Kui-Moru
kula1280-lanto	Timor-Alor-Pantar	Kula-Lantoka		tpg		kula1280	-8.1753	125.099	3Alor, 3East			kulalantoka	Kula-Lantoka
kula1280	Timor-Alor-Pantar	Kula		tpg		kula1280	-8.1753	125.099	3Alor, 3East		Typological questionnaire is based on Kula-Tanglapui and Lantoka dialect. Other data are yet pending.	kula	Kula
maka1316	Timor-Alor-Pantar	Makasae	maka	mkz		maka1316	-8.4394	129.821	4Timor, 3East			makasae	Makasae
nede1245	Timor-Alor-Pantar	Nedebang		nec		nede1245	-8.2793	121.969	1Pantar, 1West			nedebang	Nedebang
p-alor1249	Timor-Alor-Pantar	proto-AP				alor1249						protoap	proto-AP
p-timo1261	Timor-Alor-Pantar	proto-TAP				timo1261						prototap	proto-TAP
p-east2519	Timor-Alor-Pantar	proto-TIM				east2519						prototim	proto-TIM
rett1240	Timor-Alor-Pantar	Reta		ret		rett1240	-8.3224	123.543	2Reta			reta	Reta
alor1249-sar-a	Timor-Alor-Pantar	Sar-Adiabang			sarx		-8.326	124.228	1Pantar, 1West			saradiabang	Sar-Adiabang
alor1249-sar-n	Timor-Alor-Pantar	Sar-Nule					-8.3775	122.303	1Pantar, 1West			sarnule	Sar-Nule
sawi1256	Timor-Alor-Pantar	Sawila		swt		sawi1256	-8.3433	120.922	3Alor, 3East			sawila	Sawila
teiw1235	Timor-Alor-Pantar	Teiwa-Lebang	teiw	twe		teiw1235	-8.257	122.151	1Pantar, 1West			teiwalebang	Teiwa-Lebang
kola1287	Timor-Alor-Pantar	Wersing-Kolana		kvw		kola1287	-8.284473700000001	125.0477418	3Alor, 3East		Village Kolana Selatan, on OSM	wersingkolana	Wersing-Kolana
wers1238	Timor-Alor-Pantar	Wersing		kvw		wers1238	-8.2908	121.234	3Alor, 3East		Typological questionnaire is based on Wersing-Pureman dialect. Other data are  yet pending.	wersing	Wersing
lamm1241	Timor-Alor-Pantar	Western Pantar-Tubbe		lev		lamm1241	-8.4631	121.274	1Pantar, 1West			westernpantartubbe	Western Pantar-Tubbe
muna1238	Timor-Alor-Pantar	Pandai		        									Pandai
